"ID","Inattention"
"Climbing Ovenbird",2.87197618442588
"Unequal Imago",3.02276517450809
"Indigoid Barb",3.14387961640023
"Coy Feline",2.00749169453047
"Brickish Puffer",3.66155027924106
"Adored Hogget",1.21794697199948
"Specular Plover",1.82856696192175
"Cephalic Kiskadee",2.66405905224383
"Mutant Mealworm",1.24855937552638
"Farcical Jackal",3.06391282845289
"Eternal Sable",3.39213387109339
"Seared Eland",3.80468699824996
"Grayish Sphinx",3.61461441684514
"Goofy Fairyfly",2.99124522530474
"Comely Prawn",1.11149401473813
"Greasy Dore",1.51716673094779
"Tippable Mastiff",2.13288594596088
"Aerobic Swift",1.97485617129132
"Joyless Whimbrel",1.91113480669446
"Stressed Flee",1.28406459558755
"Finical Chipmunk",2.02703458163887
"Gluey Buzzard",1.63351604482159
"Peevish Pinniped",3.09491598862223
"Rural Parrot",2.90150341647677
"Gemmy Nilgai",3.36497934069484
"Precious Falcon",1.16904846113175
"Damask Goose",3.04900516453199
"Maxixe Flatfish",1.44190106890164
"Patronal Erne",1.02159159188159
"Greedy Bison",3.4365660045296
"Isogonal Bluebird",3.58154935808852
"Daring Penguin",1.35265839542262
"Cushiony Marmoset",2.93860216904432
"Jaded Arkshell",1.55849012755789
"Generous Anhinga",3.49595820344985
"Demure Hedgehog",1.92934504942968
"Southern Bream",3.7109184442088
"Didactic Penguin",3.99518633796833
"Crying Scarab",2.69989651208743
"Lexical Nutria",2.24051082320511
"Shared Urubu",1.72054270794615
"Careworn Possum",1.70889232703485
"Cozy Yearling",2.29178549465723
"Specific Bushbaby",1.65651801764034
"Civillaw Lorikeet",3.29904562304728
"Fluid Baboon",3.1166838707868
"Dreamy Coqui",1.51383686973713
"Suspect Songbird",2.31919835880399
"Flyable Gorilla",1.60875901952386
"Learned Tarsier",3.11315731564537
"Carbon Buzzard",3.03522364981472
"Shameful Coyote",2.14592676516622
"Cracked Mole",1.17167516588233
"Pagan Kob",2.40878628077917
"Taurine Lunamoth",1.61972262361087
"Disused Scaup",2.59293380798772
"Dashing Rodent",2.58142556878738
"Adorable Gaur",3.54097845032811
"Fluffy Ynambu",2.6952275657095
"Bardish Crane",2.6837590134237
"Deathful Teledu",1.80403455067426
"Duckie Sealion",2.00383549230173
"Irksome Jaguar",1.94289925252087
"Blocky Piranha",1.22439002781175
"Speedy Sparrow",1.6141485448461
"Balmy Javalina",3.8022339832969
"Edacious Rat",1.37909807311371
"Nuclear Colt",2.00025499612093
"Inborn Vireo",2.76403027400374
"Jute Cardinal",3.18283644760959
"Familiar Dairycow",3.75526196137071
"Coltish Nauplius",2.68262654496357
"Baby Zebra",2.93881000950933
"Azure Cockatoo",2.00627262704074
"Crushing Coral",1.61072190687992
"Cordial Skua",1.46533398679458
"Jobless Martin",3.27645531133749
"Illicit Zebra",1.69123524101451
"Adoring Turaco",3.6451180819422
"Impolite Dore",3.65162199735641
"Deranged Quelea",3.32996597141027
"Harmless Bellfrog",1.0332095969934
"Glossy Cuckoo",3.31420305301435
"Missing Elephant",1.69897224963643
"Varying Plankton",3.51442194986157
"Secluded Finwhale",2.71071629878134
"Hawkeyed Octopus",3.11231170594692
"Outdoor Morayeel",3.62294961325824
"Abased Pewee",3.99830132070929
"Cruel Loris",3.74961007549427
"Metal Duckling",2.86847072653472
"Fake Pig",1.22316683433019
"Mutual Rooster",3.44254289660603
"Astatine Thrush",1.24610734195448
"Primary Elephant",3.17383090290241
"Key Hogget",3.38333488232456
"Spiky Collie",3.17621888406575
"Fatfaced Silkworm",1.62387711950578
"Ducal Eland",1.7123453868553
"Wakeful Echidna",2.50125073152594
